DATE,CLOSE,VOLUME
2014-01-01,532.38,2299608.71
2014-01-02,545.12,1543041.85
2014-01-03,480.71,2346078.85
2014-01-04,522.66,2698832.73
2014-01-05,497.74,2354682.31
2014-01-06,516.6,1786643.67
2014-01-07,522.02,1773560.02
2014-01-08,574.31,2411016.01
2014-01-09,549.95,2806122.68
2014-01-10,534.99,993719.14
2014-01-11,573.08,1711685.0
2014-01-12,582.08,2266539.6
2014-01-13,599.38,1733936.99
2014-01-14,555.24,1434547.12
2014-01-15,588.92,961316.61
2014-01-16,607.41,2136581.12
2014-01-17,632.21,4987418.21
2014-01-18,632.94,2425280.88
2014-01-19,686.29,4868572.77
2014-01-20,617.56,1854157.46
2014-01-21,684.54,1644710.23
2014-01-22,640.56,3556442.35
2014-01-23,615.23,2495299.13
2014-01-24,651.36,5266951.53
2014-01-25,642.73,1845909.91
2014-01-26,650.61,1836229.98
2014-01-27,705.33,3061521.72
2014-01-28,703.85,1831337.56
2014-01-29,696.11,2678899.3
2014-01-30,682.8,1426550.02
2014-01-31,722.8,2541761.98
2014-02-01,696.81,1984131.13
2014-02-02,748.78,1578363.59
2014-02-03,694.72,4586355.61
2014-02-04,783.23,3870407.23
2014-02-05,730.93,3212642.62
2014-02-06,722.04,1544417.44
2014-02-07,770.79,2083010.59
2014-02-08,734.35,2651617.05
2014-02-09,798.28,1823303.63
2014-02-10,780.9,3322107.51
2014-02-11,751.43,2282022.71
2014-02-12,751.58,1131146.4
2014-02-13,824.02,4861810.88
2014-02-14,821.82,2135853.09
2014-02-15,849.38,2210200.06
2014-02-16,726.7,3043693.16
2014-02-17,808.9,2541180.66
2014-02-18,898.09,2722706.25
2014-02-19,868.8,1929120.49
2014-02-20,847.35,2852027.83
2014-02-21,832.14,2000395.41
2014-02-22,815.79,2139807.39
2014-02-23,854.53,2647301.32
2014-02-24,812.76,1291789.96
2014-02-25,830.39,3101533.37
2014-02-26,916.81,1963094.56
2014-02-27,890.23,3324716.18
2014-02-28,904.74,2971307.28
2014-03-01,898.09,2454050.04
2014-03-02,831.11,2059376.1
2014-03-03,901.42,2227176.21
2014-03-04,886.47,1075490.24
2014-03-05,919.78,1907134.89
2014-03-06,820.7,2208504.05
2014-03-07,925.78,1636055.69
2014-03-08,896.23,2689731.91
2014-03-09,941.96,1366532.27
2014-03-10,941.84,3893852.41
2014-03-11,899.92,3891342.64
2014-03-12,934.46,2084975.18
2014-03-13,1030.52,4114800.5
2014-03-14,917.77,1701646.61
2014-03-15,1007.14,2096274.53
2014-03-16,960.59,3118955.27
2014-03-17,974.16,2857412.9
2014-03-18,1011.31,1526106.72
2014-03-19,905.69,2137207.1
2014-03-20,910.97,2692189.09
2014-03-21,853.62,2107616.84
2014-03-22,932.79,3637435.25
2014-03-23,999.62,2960911.38
2014-03-24,953.34,2676585.47
2014-03-25,938.51,2004825.64
2014-03-26,1025.26,2230054.52
2014-03-27,952.25,2511580.52
2014-03-28,949.65,2456854.62
2014-03-29,971.19,3130689.82
2014-03-30,888.92,3906593.89
2014-03-31,1029.92,2682917.08
2014-04-01,931.99,4321561.27
2014-04-02,946.98,2332188.38
2014-04-03,930.61,2511565.19
2014-04-04,944.79,1500827.32
2014-04-05,942.14,4048345.39
2014-04-06,943.33,2684963.45
2014-04-07,918.16,2324275.71
2014-04-08,956.46,3950591.33
2014-04-09,986.41,3765170.27
2014-04-10,921.34,1911708.06
2014-04-11,920.59,3927978.93
2014-04-12,911.0,2914312.57
2014-04-13,927.12,3232632.46
2014-04-14,945.91,3127552.91
2014-04-15,936.12,2653328.35
2014-04-16,922.6,3667390.56
2014-04-17,904.65,2305059.86
2014-04-18,908.33,3116908.18
2014-04-19,938.32,3726213.28
2014-04-20,947.35,2930613.73
2014-04-21,899.93,2138924.39
2014-04-22,1006.02,2878562.81
2014-04-23,949.29,4790316.68
2014-04-24,920.98,3702971.88
2014-04-25,1049.14,3188749.46
2014-04-26,921.97,1687632.23
2014-04-27,863.81,4059776.53
2014-04-28,1003.48,3064096.51
2014-04-29,918.09,2364697.24
2014-04-30,990.24,3164801.6
2014-05-01,933.07,2779245.82
2014-05-02,989.04,5506168.46
2014-05-03,995.52,3514784.57
2014-05-04,949.68,3992832.03
2014-05-05,939.06,2615867.63
2014-05-06,1039.0,3656002.39
2014-05-07,992.86,2247586.03
2014-05-08,975.81,3773104.33
2014-05-09,974.06,3071292.8
2014-05-10,981.9,4820843.03
2014-05-11,961.18,2563401.24
2014-05-12,1007.45,2203504.67
2014-05-13,1036.62,3065739.23
2014-05-14,979.58,2350141.12
2014-05-15,946.2,4609308.91
2014-05-16,964.48,4761328.92
2014-05-17,1021.04,2596548.99
2014-05-18,897.16,2697959.44
2014-05-19,945.95,4142968.07
2014-05-20,1067.51,3654976.42
2014-05-21,1028.29,3429483.11
2014-05-22,1044.93,3021308.35
2014-05-23,1080.01,2018436.37
2014-05-24,1048.45,2797991.28
2014-05-25,1012.67,3942924.12
2014-05-26,1046.64,5022330.21
2014-05-27,983.41,2692231.24
2014-05-28,1068.17,3390036.11
2014-05-29,960.07,4535171.99
2014-05-30,1038.91,4821914.78
2014-05-31,1241.38,2197725.43
2014-06-01,1002.16,2578790.71
2014-06-02,1073.44,3756739.0
2014-06-03,1055.05,4015104.82
2014-06-04,1076.18,2368091.95
2014-06-05,1085.37,4353323.32
2014-06-06,1035.18,3915815.22
2014-06-07,1077.92,2805032.08
2014-06-08,1052.6,4055783.96
2014-06-09,1203.71,4051796.9
2014-06-10,1144.7,3281224.87
2014-06-11,1125.95,3564244.91
2014-06-12,1210.82,1319017.33
2014-06-13,1126.71,4605772.11
2014-06-14,1166.28,2894180.57
2014-06-15,1121.64,2327508.48
2014-06-16,1163.47,2179114.98
2014-06-17,1246.21,2844279.1
2014-06-18,1144.29,3858399.01
2014-06-19,1142.22,4059796.92
2014-06-20,1305.0,3806039.17
2014-06-21,1213.74,3333155.84
2014-06-22,1272.14,3390307.56
2014-06-23,1249.65,3501979.04
2014-06-24,1218.39,3192295.35
2014-06-25,1327.84,2478999.1
2014-06-26,1335.93,4478896.45
2014-06-27,1342.2,3320859.94
2014-06-28,1298.19,3107211.41
2014-06-29,1332.57,4775658.65
2014-06-30,1233.81,1836993.08
2014-07-01,1282.16,1933678.95
2014-07-02,1259.97,4799203.02
2014-07-03,1314.79,5024787.5
2014-07-04,1420.09,4920979.94
2014-07-05,1331.08,4506782.83
2014-07-06,1509.0,4863153.45
2014-07-07,1336.3,2884683.04
2014-07-08,1491.86,4006733.62
2014-07-09,1450.16,2092307.72
2014-07-10,1570.51,7296841.24
2014-07-11,1556.27,3067109.06
2014-07-12,1606.69,2293434.86
2014-07-13,1553.36,4071928.09
2014-07-14,1562.73,3283570.76
2014-07-15,1510.98,2622491.45
2014-07-16,1454.46,2637042.31
2014-07-17,1533.96,2965677.66
2014-07-18,1560.7,3465287.02
2014-07-19,1664.5,3728688.42
2014-07-20,1598.75,2922194.16
2014-07-21,1557.85,5704625.28
2014-07-22,1681.03,3157081.84
2014-07-23,1742.68,1241812.35
2014-07-24,1635.16,3218014.13
2014-07-25,1687.83,5200218.29
2014-07-26,1667.35,2296452.4
2014-07-27,1889.97,3262511.67
2014-07-28,1674.19,3602885.21
2014-07-29,1538.78,2748089.44
2014-07-30,1687.05,3023752.2
2014-07-31,1941.78,6911803.09
2014-08-01,1686.21,2544730.7
2014-08-02,1639.4,6211830.88
2014-08-03,1849.66,4538621.38
2014-08-04,2059.6,2511754.87
2014-08-05,1935.36,3212925.33
2014-08-06,1754.14,4642691.66
2014-08-07,1842.72,3725431.48
2014-08-08,1757.5,1928463.0
2014-08-09,1896.5,2584861.45
2014-08-10,2105.11,3764340.98
2014-08-11,1890.94,4664150.93
2014-08-12,2042.42,3088670.92
2014-08-13,1922.99,3685198.04
2014-08-14,1920.68,3870876.22
2014-08-15,2003.26,1904238.98
2014-08-16,1839.92,4827038.92
2014-08-17,1751.33,1964467.19
2014-08-18,2036.99,3491098.68
2014-08-19,2080.31,4407568.36
2014-08-20,2048.87,2710083.52
2014-08-21,1854.55,2230921.34
2014-08-22,2063.87,4102652.84
2014-08-23,2094.69,2957256.0
2014-08-24,1890.38,6765915.61
2014-08-25,2039.0,1629466.68
2014-08-26,2032.83,1859861.31
2014-08-27,2057.12,2632858.94
2014-08-28,1972.39,3134498.22
2014-08-29,2169.04,6432732.04
2014-08-30,2083.99,2256999.28
2014-08-31,1925.19,2445179.08
2014-09-01,2070.48,5898129.9
2014-09-02,2072.26,2323845.08
2014-09-03,1928.52,3991821.45
2014-09-04,1931.75,3048809.78
2014-09-05,2095.56,3578164.96
2014-09-06,2129.68,4127104.63
2014-09-07,1963.92,3344339.73
2014-09-08,2130.64,4608881.53
2014-09-09,2055.9,5020776.95
2014-09-10,1889.66,4006426.5
2014-09-11,2229.03,2539471.82
2014-09-12,2024.61,2776181.72
2014-09-13,1983.5,4163227.92
2014-09-14,2121.18,1361713.87
2014-09-15,2028.93,2308427.21
2014-09-16,1897.93,4759523.74
2014-09-17,2266.38,2210180.0
2014-09-18,2290.99,3541397.97
2014-09-19,2157.29,3259233.51
2014-09-20,2111.09,1757007.45
2014-09-21,2006.17,3625443.38
2014-09-22,2215.98,3069962.26
2014-09-23,2031.76,4944096.61
2014-09-24,1938.21,2345975.92
2014-09-25,2066.64,2333338.75
2014-09-26,1958.85,3563345.6
2014-09-27,2095.37,2859057.46
2014-09-28,2041.85,4305420.94
2014-09-29,2100.49,3391484.71
2014-09-30,1985.81,3118102.3
2014-10-01,2063.1,4353800.91
2014-10-02,1984.15,4021903.28
2014-10-03,2059.1,4472652.81
2014-10-04,1956.78,1724723.21
2014-10-05,2030.13,3457254.58
2014-10-06,2022.75,1581707.49
2014-10-07,1968.4,2579801.19
2014-10-08,1772.48,2712818.96
2014-10-09,1852.89,2415295.55
2014-10-10,1798.24,3390207.21
2014-10-11,1894.45,6198585.89
2014-10-12,1940.01,1635456.13
2014-10-13,1909.24,3968410.77
2014-10-14,1825.59,2607277.46
2014-10-15,1747.7,2921474.73
2014-10-16,1872.11,2730714.19
2014-10-17,1752.55,2588911.82
2014-10-18,1758.25,3231955.21
2014-10-19,1706.1,2626540.37
2014-10-20,1747.89,2916113.72
2014-10-21,1757.35,1891926.12
2014-10-22,1878.79,5005690.46
2014-10-23,1752.15,2347593.45
2014-10-24,1684.41,3567822.13
2014-10-25,1693.97,1701985.83
2014-10-26,1737.63,3494472.73
2014-10-27,1710.94,3852361.84
2014-10-28,1868.23,2564210.73
2014-10-29,1913.5,3822049.28
2014-10-30,1792.99,2662996.58
2014-10-31,1805.63,3431078.58
2014-11-01,1757.79,4583462.16
2014-11-02,1538.72,1503413.42
2014-11-03,1610.98,2846952.47
2014-11-04,1761.18,3087943.42
2014-11-05,1647.94,2061716.27
2014-11-06,1631.4,1595503.83
2014-11-07,1597.05,1797262.4
2014-11-08,1739.1,3003665.11
2014-11-09,1714.47,4273197.63
2014-11-10,1732.64,1338351.94
2014-11-11,1611.02,3792632.11
2014-11-12,1670.46,2452125.52
2014-11-13,1622.51,2558871.76
2014-11-14,1540.0,2988524.44
2014-11-15,1625.28,4578811.08
2014-11-16,1647.98,2439853.42
2014-11-17,1680.49,2150284.53
2014-11-18,1540.17,2922558.61
2014-11-19,1533.02,2277605.14
2014-11-20,1450.58,3300549.53
2014-11-21,1545.53,1617933.42
2014-11-22,1609.61,2403236.15
2014-11-23,1662.28,2958495.24
2014-11-24,1430.75,2156587.48
2014-11-25,1490.75,1859072.15
2014-11-26,1568.22,3116865.23
2014-11-27,1546.75,1644327.97
2014-11-28,1454.59,2751941.78
2014-11-29,1391.56,2258682.8
2014-11-30,1524.67,1953006.36
2014-12-01,1556.19,1330890.91
2014-12-02,1438.27,3304988.8
2014-12-03,1425.84,2978534.65
2014-12-04,1457.6,2250730.79
2014-12-05,1394.21,3606804.76
2014-12-06,1536.27,1961595.28
